episode,episode-rewards,num-steps
181,343.220266853653,302
182,153.069734140572,1000
183,334.324962702424,312
184,-172.016241775056,540
185,332.563997962988,468
186,-161.802653979768,651
187,-175.732714509725,126
188,236.146885381801,265
189,-157.936598278429,149
190,1.86414247480788,1000
191,-148.169438347015,769
192,-101.147982007202,650
193,-185.119619773422,41
194,13.3785685033166,1000
195,243.077303233871,60
196,-195.985882056548,86
197,-152.487999186995,533
198,-121.712852062159,616
199,291.817652495672,150
200,232.211927171515,75
201,5.72402228805395,178
202,77.1619334590301,1000
203,-23.2456139434047,1000
204,-153.820505773596,237
205,-207.359682866039,148
206,259.854818853145,319
207,-146.175352412056,164
208,284.324509713602,129
209,233.28111368265,379
210,-146.94082719434,119
211,237.123591143733,468
212,106.581292926215,1000
213,-115.429453274684,942
214,-78.4772870408467,597
215,233.646318187918,893
216,-190.898997744613,921
217,-191.515251724896,90
218,-14.1435612568312,1000
219,-150.561338325768,357
220,20.5661471259911,237
221,24.2585289434764,1000
222,290.880201607717,823
223,-178.047314257076,166
224,-201.087898058534,221
225,316.051904526922,428
226,58.9751935948637,1000
227,-187.395501311599,231
228,-168.60794423712,101
229,-141.177754176593,750
230,-126.535362317592,232
231,255.636578010276,898
232,318.231089551742,210
233,-212.607938776373,128
234,278.542799146005,147
235,-149.990194092027,162
236,-177.26374107121,48
237,-195.127700272851,347
238,98.3639016360238,1000
239,-162.704771511724,321
240,-133.920201502608,264
241,271.378462726435,392
242,-22.9108888821048,881
243,36.7896487453108,250
244,231.93022979513,79
245,-172.946272710234,379
246,320.156657050065,286
247,-161.469337280678,483
248,-5.42942283295868,1000
249,-211.005587860817,89
250,76.7848601724141,1000
251,2.0935873736839,1000
252,4.11266539165272,1000
253,264.242766776887,97
254,-168.796215587129,389
255,-140.912902296606,267
256,246.484504897715,100
257,263.125878449127,168
258,-138.64058934881,400
259,314.051906140898,443
260,316.207895779734,211
261,-138.20445528868,279
262,280.283602313798,707
263,-97.6598698103442,429
264,-181.200482804851,62
265,335.302085883424,247
266,228.308336774491,264
267,244.195547996942,89
268,30.0835191766261,532
269,291.150478892344,608
270,34.4700800157119,1000
271,303.020804334243,399
272,320.068501429774,358
273,69.3988959604421,1000
274,364.942481990583,252
275,325.860156929519,259
276,272.525818110623,245
277,-123.684546721631,176
278,265.466000991691,252
279,315.095572667532,231
280,-187.457727824336,144
281,267.854488308554,335
282,363.903476336136,295
283,332.918752471992,503
284,-167.06706446289,173
285,-211.910680715994,276
286,-111.280973847735,311
287,-125.463517542789,213
288,367.425034363088,470
289,247.551302643293,444
290,326.702548078189,384
291,364.39849780698,450
292,283.922701339448,115
293,-137.719816339291,140
294,-167.765203494807,81
295,266.172460864947,151
296,247.964423189794,58
297,316.40876493234,459
298,-19.3529211983449,218
299,295.500062081911,232
300,241.778076741968,55
301,241.83392602217,109
302,343.746201959456,244
303,281.963893238954,162
304,286.227745274753,107
305,288.869259969579,251
306,-170.326160683145,191
307,-185.310030429705,150
308,399.731698309842,470
309,303.821460636804,196
310,323.577417229763,303
311,-234.392202989882,223
312,329.008983856641,309
313,-177.331791468847,42
314,276.45070654779,172
315,255.895172753767,135
316,326.00185671187,289
317,-207.203469940868,7
318,227.956110285946,186
319,317.143449369241,233
320,274.781584790727,153
321,344.562546015236,420
322,264.037730186978,181
323,-45.3867073227972,384
324,329.968978424827,195
325,269.731811141596,74
326,247.662528116934,172
327,-123.647148956302,315
328,-174.037836319946,222
329,263.538533843707,118
330,87.2516382950853,1000
331,298.033781286078,208
332,-147.836383482188,210
333,325.85977550424,219
334,350.444542944069,529
335,333.191052779333,763
336,276.493232373256,174
337,276.669272804908,162
338,365.80859938801,333
339,68.6625681430635,102
340,244.614979620676,106
341,248.1612585089,75
342,308.379134775857,178
343,275.206432533114,109
344,-102.993089854981,452
345,271.287933917476,152
346,376.91521102386,403
347,341.228891505726,341
348,350.047569703397,299
349,244.952535272405,85
350,-173.343405302785,73
351,352.88576810603,596
352,318.889411663664,286
353,230.598479511638,57
354,257.39059513184,138
355,336.079386833925,540
356,321.167911576836,537
357,373.24456071215,268
358,400.105241851904,413
359,-171.365611625942,61
360,353.055385428036,503
361,283.781714081873,135
362,299.804250515956,125
363,314.333532077609,203
364,331.361752835527,383
365,382.716274975727,388
366,311.135219104232,177
367,344.021498465975,258
368,322.62301013853,225
369,328.39425648581,167
370,329.506049048513,296
371,296.435459892437,191
372,310.003922738372,173
373,255.814776827664,120
374,277.023483439582,78
375,262.935055174455,115
376,358.484731437347,233
377,88.6509775868133,1000
378,33.8279621955625,61
379,281.230829021859,169
380,264.989105218578,142
381,248.978308406774,326
382,263.315240572139,182
383,246.009033771789,118
384,275.295646625055,75
385,270.240650490398,163
386,235.298958251965,83
387,-211.829212036948,28
388,322.073250344836,183
389,298.028545678826,192
390,314.886110159342,134
391,358.405563367571,184
392,360.748762781098,219
393,322.496654518069,171
394,229.92222558034,61
395,300.516395260081,146
396,306.104065246858,163
397,262.261802812963,76
398,239.930734917297,101
399,295.685830812802,207
400,273.53935823267,102
401,295.218955403929,303
402,-108.074427408943,300
403,260.225574146891,171
404,320.184524958708,180
405,295.168228478098,136
406,317.610995234109,226
407,-134.70534943661,156
408,336.274170478754,231
409,263.179737255799,230
410,232.928518965535,45
411,284.092576581776,153
412,351.336061934923,234
413,273.784278527136,111
414,324.612231677876,467
415,271.675415028086,212
416,276.334074875003,71
417,301.870347276679,181
418,275.704776632189,90
419,-79.9724983590047,209
420,292.775716814661,192
421,310.044885631519,233
422,-138.617040660963,97
423,259.103473246374,86
424,267.534964890455,93
425,-183.571227972075,55
426,-149.121354874798,151
427,394.412312154432,253
428,304.748264630481,227
429,263.047517109492,98
430,360.91662276199,495
431,230.068104959234,48
432,261.241118316195,69
433,359.289058355094,327
434,346.319833505389,211
435,174.357603184717,434
436,286.779158553509,100
437,230.119418203813,56
438,273.014595053842,115
439,231.255003775625,25
440,357.887085821886,200
441,341.681944275623,239
442,279.799713008275,466
443,-161.951498653213,138
444,256.172912163562,85
445,260.194057469089,67
446,-182.723052427883,40
447,257.361788863053,77
448,334.045340457636,153
449,287.967433340761,106
450,399.2600906865,283
451,334.180513880782,191
452,346.678515594068,208
453,245.142139753309,92
454,224.889762584659,68
455,282.683410504902,81
456,257.543981534476,74
457,-149.087641304823,86
458,-154.76945791538,98
459,339.640797888618,234
460,321.162648371767,165
461,318.693333699675,221
462,232.551621043974,37
463,372.18748185728,264
464,264.705810218871,68
465,230.391857438384,60
466,333.97594885629,176
467,269.451630948182,90
468,259.401234448604,70
469,256.617558484556,76
470,279.378370268608,118
471,251.147043874272,80
472,357.860509179329,228
473,297.656289250337,120
474,-82.3235847081578,161
475,244.9246708126,61
476,330.688399015262,185
477,283.61303839502,151
478,294.540473024579,84
479,238.355858453144,113
480,322.402975520677,196
481,298.98204860484,138
482,325.307738319972,176
483,304.624757199067,131
484,228.647544860563,66
485,261.888455322981,93
486,356.883826524493,195
487,258.649401327406,70
488,263.965563120135,95
489,241.520884176147,43
490,-178.917237569424,53
491,316.427109260353,219
492,266.096950265866,98
493,336.768696111792,249
494,-156.581641361982,69
495,253.345659952085,87
496,235.970940657126,39
497,292.88202559501,85
498,266.437908115007,68
499,315.055508221414,145
500,268.059926698803,53
501,271.81258269582,177
502,-183.078189243679,37
503,257.957313379991,73
504,242.829564800886,146
505,342.701108964467,200
506,318.85133326594,133
507,287.904855480472,91
508,264.784637564899,74
509,318.082614760155,192
510,263.263941032908,67
511,312.834589816931,155
512,229.535479852264,37
513,303.487933439143,101
514,229.277729353762,61
515,296.858318123433,178
516,-139.570635703165,93
517,3.66624809614391,7
518,258.804858756867,134
519,234.316811972421,79
520,248.359601559825,56
521,304.07264376056,104
522,364.016457746617,263
523,323.453854312362,177
524,352.082197882462,387
525,242.13605338039,99
526,225.815811821661,43
527,229.517108147639,32
528,237.755341772599,47
529,228.601883371924,68
530,239.424620602297,73
531,264.285608322729,93
532,279.593348988934,109
533,340.980198132215,183
534,356.312500371484,276
535,263.810304657049,106
536,382.963781309321,224
537,297.737779084996,108
538,261.363018804748,84
539,301.062302194058,115
540,396.036851859932,321
541,-137.513730355168,212
542,250.43429379405,62
543,-148.185027698945,73
544,-167.236058799905,69
545,314.284029044674,124
546,241.170091836766,46
547,-140.010619320627,131
548,248.843904853565,61
549,245.207063753025,60
550,307.452213233456,184
551,307.363406789475,185
552,282.255432473244,83
553,317.239459636851,267
554,256.597993893478,116
555,316.761018236698,139
556,262.074731701222,98
557,265.76196387691,93
558,265.018925239058,116
559,-101.170666560723,183
560,256.969353797897,120
561,313.839545978166,156
562,275.254351733425,97
563,287.896202660935,103
564,261.79875252416,77
565,350.610104704895,324
566,-172.281757170852,80
567,247.305753310769,84
568,287.966410615054,123
569,256.598985159328,90
570,292.054655361843,158
571,271.912772355938,136
572,260.913324335499,58
573,330.855403077866,153
574,354.022844077546,323
575,-112.28777045013,257
576,245.656454293777,73
577,325.87007827203,212
578,265.226773745285,116
579,308.542052757885,182
580,350.101423961494,183
581,288.567760865333,285
582,328.54439806597,249
583,270.174481638723,71
584,276.969269301235,148
585,303.981031251452,121
586,284.53873193987,130
587,287.903941730771,96
588,113.019140557911,312
589,285.336131302182,88
590,-140.17254534269,238
591,281.809968987646,156
592,335.607484190211,166
593,317.281987463903,168
594,268.100266770115,94
595,334.861842011927,357
596,251.579251598988,105
597,402.915454538063,381
598,332.501144718339,361
599,256.702097480122,76
600,342.901507959417,172
601,260.125569574599,84
602,340.708652128229,180
603,-151.270126835276,65
604,354.890859494326,262
605,316.350677183492,235
606,228.401016761071,149
607,307.923456444927,166
608,306.757667513554,208
609,251.156279942366,61
610,311.982332518653,191
611,256.229298604343,83
612,344.720878946757,181
613,305.253447969095,174
614,251.37712602164,56
615,303.262968828031,135
616,232.811406155614,40
