epoch,mean-returns,mean-length,num-episodes
1,-168.522884847796,188.67924528301887,53
2,-172.88480305519016,204.08163265306123,49
3,-124.31546095994332,384.61538461538464,26
4,-50.422947815262546,416.6666666666667,24
5,-78.43633142096947,416.6666666666667,24
6,-4.613190328001535,400.0,25
7,1.7879922913268527,526.3157894736842,19
8,-4.707343564288718,434.7826086956522,23
9,69.64395632605924,400.0,25
10,156.51729298364685,333.3333333333333,30
11,186.60323086426385,243.90243902439025,41
12,263.7785258439925,256.4102564102564,39
13,236.28291060241213,175.43859649122808,57
14,234.5410325932679,121.95121951219512,82
15,242.69543429428552,140.8450704225352,71
16,259.23923644892807,138.88888888888889,72
17,235.65722451916872,125.0,80
18,281.929707239771,138.88888888888889,72
19,247.47270476415744,109.89010989010988,91
20,227.2341183047173,107.52688172043011,93
21,231.94431341799284,93.45794392523365,107
22,228.1996386699421,111.11111111111111,90
23,209.49310603796846,100.0,100
24,264.9374862093445,116.27906976744185,86
25,231.98537235374297,109.89010989010988,91
26,260.8843896164252,104.16666666666667,96
27,264.46958117438277,111.11111111111111,90
28,248.49433372808423,100.0,100
29,255.12186184913236,93.45794392523365,107
30,242.82925936161456,89.28571428571429,112
31,258.59558437947476,88.49557522123894,113
32,256.3910217180685,85.47008547008546,117
33,249.48120577109313,83.33333333333333,120
34,255.13642642418736,86.20689655172414,116
35,252.94293487408837,89.28571428571429,112
36,250.2381315470447,86.20689655172414,116
37,255.34229215653733,77.51937984496124,129
38,264.59941219033954,101.01010101010101,99
39,253.36099391934565,84.03361344537815,119
40,270.806181660802,86.20689655172414,116
41,273.8790285615114,91.74311926605505,109
42,253.65896514985332,81.9672131147541,122
43,266.36537304409325,81.30081300813008,123
44,244.74335855304682,75.75757575757575,132
45,245.0705086235165,72.99270072992701,137
46,267.3415853820563,71.42857142857143,140
47,256.4217753649653,79.36507936507937,126
48,233.83179184588363,81.9672131147541,122
49,253.5413546227785,76.92307692307692,130
50,242.87872710527134,76.33587786259542,131
