model,episode,timeframes,totalrewards,success
epochs_40,58,1000,4208.0,1
epochs_40,59,654,2548.0,0
epochs_40,60,1000,4010.0,1
epochs_40,61,1000,4202.5,1
epochs_40,62,1000,4202.5,1
epochs_40,63,1000,4109.0,1
epochs_40,64,1000,4202.5,1
epochs_40,65,1000,4043.0,1
epochs_40,66,1000,3999.0,1
epochs_40,67,686,2647.5,0
epochs_40,68,1000,4175.0,1
epochs_40,69,1000,4147.5,1
epochs_40,70,1000,4109.0,1
epochs_40,71,1000,4037.5,1
epochs_40,72,1000,4142.0,1
epochs_40,73,1000,4197.0,1
epochs_40,74,1000,4010.0,1
epochs_40,75,1000,4109.0,1
epochs_40,76,1000,4098.0,1
epochs_40,77,1000,4081.5,1
epochs_40,78,1000,4059.5,1
epochs_40,79,1000,4081.5,1
epochs_40,80,1000,4070.5,1
epochs_40,81,1000,4026.5,1
epochs_40,82,1000,4169.5,1
epochs_40,83,119,247.0,0
epochs_40,84,1000,4202.5,1
epochs_40,85,1000,4153.0,1
epochs_40,86,1000,4142.0,1
epochs_40,87,1000,4164.0,1
epochs_40,88,1000,4186.0,1
epochs_40,89,1000,4076.0,1
epochs_40,90,16,-180.0,0
epochs_40,91,1000,3999.0,1
epochs_40,92,1000,4076.0,1
epochs_40,93,1000,4065.0,1
epochs_40,94,1000,4043.0,1
epochs_40,95,1000,4180.5,1
epochs_40,96,1000,4191.5,1
epochs_40,97,1000,4142.0,1
epochs_40,98,1000,4186.0,1
epochs_40,99,1000,4103.5,1
epochs_40,100,1000,4136.5,1
epochs_30,21,1000,3878.0,1
epochs_30,22,1000,3982.5,1
epochs_30,23,29,-142.5,0
epochs_30,24,1000,4164.0,1
epochs_30,25,1000,4070.5,1
epochs_30,26,1000,4026.5,1
epochs_30,27,1000,4087.0,1
epochs_30,28,1000,4054.0,1
epochs_30,29,1000,4098.0,1
epochs_30,30,1000,3872.5,1
epochs_30,31,1000,4098.0,1
epochs_30,32,1000,3960.5,1
epochs_30,33,403,1392.0,0
epochs_30,34,1000,3916.5,1
epochs_30,35,1000,3960.5,1
epochs_30,36,1000,3938.5,1
epochs_30,37,1000,3966.0,1
epochs_30,38,1000,4109.0,1
epochs_30,39,1000,3889.0,1
epochs_30,40,1000,4098.0,1
epochs_30,41,1000,4010.0,1
epochs_30,42,1000,4076.0,1
epochs_30,43,1000,4081.5,1
epochs_30,44,426,1468.5,0
epochs_30,45,1000,3905.5,1
epochs_30,46,1000,4186.0,1
epochs_30,47,1000,4059.5,1
epochs_30,48,1000,3949.5,1
epochs_30,49,18,-186.5,0
epochs_30,50,1000,4015.5,1
epochs_30,51,1000,4114.5,1
epochs_30,52,1000,4081.5,1
epochs_30,53,1000,4103.5,1
epochs_30,54,1000,4087.0,1
epochs_30,55,1000,4098.0,1
epochs_30,56,1000,3911.0,1
epochs_30,57,1000,4065.0,1
epochs_30,58,1000,3977.0,1
epochs_30,59,1000,3966.0,1
epochs_30,60,1000,4076.0,1
epochs_30,61,1000,3889.0,1
epochs_30,62,1000,3949.5,1
epochs_30,63,1000,4010.0,1
epochs_30,64,1000,3949.5,1
epochs_30,65,1000,3817.5,1
epochs_30,66,1000,4054.0,1
epochs_30,67,1000,4004.5,1
epochs_30,68,1000,4147.5,1
epochs_30,69,1000,3960.5,1
epochs_30,70,1000,4098.0,1
epochs_30,71,1000,4037.5,1
epochs_30,72,1000,3872.5,1
epochs_30,73,1000,4065.0,1
epochs_30,74,1000,3988.0,1
epochs_30,75,1000,3982.5,1
epochs_30,76,1000,4087.0,1
epochs_30,77,200,542.0,0
epochs_30,78,1000,4021.0,1
epochs_30,79,1000,3982.5,1
epochs_30,80,1000,4109.0,1
epochs_30,81,1000,3927.5,1
epochs_30,82,1000,4021.0,1
epochs_30,83,1000,4043.0,1
epochs_30,84,1000,3927.5,1
epochs_30,85,1000,3883.5,1
epochs_30,86,1000,4065.0,1
epochs_30,87,1000,4109.0,1
epochs_30,88,1000,3894.5,1
epochs_30,89,1000,4021.0,1
epochs_30,90,15,-174.0,0
epochs_30,91,1000,4114.5,1
epochs_30,92,1000,4076.0,1
epochs_30,93,1000,4048.5,1
epochs_30,94,1000,4142.0,1
epochs_30,95,1000,3988.0,1
epochs_30,96,1000,4092.5,1
epochs_30,97,1000,3971.5,1
epochs_30,98,1000,3933.0,1
epochs_30,99,1000,4015.5,1
epochs_30,100,1000,4010.0,1
epochs_20,1,449,1413.0,0
epochs_20,2,953,3405.0,0
