episode,episode-rewards,num-steps
73,-51.0,55
74,-181.0,7
75,-172.0,11
76,-180.0,16
77,-184.0,13
78,-100.0,32
79,-86.0,37
80,-184.5,14
81,-101.5,46
82,-183.5,12
83,-76.0,72
84,-74.5,47
85,-30.0,79
86,281.0,205
87,-83.0,31
88,-74.5,47
89,-174.5,16
90,78.0,42
1,-18.0,66
2,-177.5,11
3,-179.0,14
4,-37.5,39
5,-28.5,43
6,-168.5,15
7,-177.5,11
8,-177.5,11
9,-114.0,27
10,-105.5,32
11,-44.0,41
12,-157.5,15
13,121.0,151
14,-160.5,21
15,33.0,74
16,-17.0,53
17,-180.0,16
18,-78.5,33
19,-148.5,19
20,-71.5,52
21,-89.0,32
22,-175.5,7
23,6.5,61
24,76.5,86
25,-18.5,67
26,-69.0,47
27,-179.0,14
28,36.5,67
29,-182.5,10
30,-70.5,39
31,-114.5,28
32,-22.0,52
33,-80.5,37
34,-111.0,32
35,-47.0,58
36,19.5,79
37,-166.5,22
38,-40.0,44
39,-47.0,58
40,-149.0,20
41,22.0,85
42,42.5,66
43,-95.5,45
44,-42.5,49
45,186.0,98
46,177.5,104
47,-177.5,11
48,75.0,89
49,-177.0,10
50,-75.5,49
51,-165.5,9
52,-26.0,82
53,-178.0,12
54,-180.0,16
55,-170.5,8
56,15.0,66
57,-49.0,51
58,-56.0,43
59,25.5,89
60,-182.5,10
61,-72.5,43
62,-149.0,20
63,85.0,80
64,185.0,111
65,34.5,60
66,-183.0,11
67,-69.5,59
68,-68.5,35
69,-179.0,14
70,89.5,82
71,16.5,63
72,-178.5,13
73,-76.0,39
74,-168.0,14
75,-160.5,21
76,-43.0,61
77,141.5,110
78,61.0,84
79,46.0,70
80,132.5,106
81,-66.5,42
82,-128.0,22
83,158.0,110
84,224.0,121
85,-167.0,12
86,5.0,1
1,87.5,75
2,70.0,88
3,828.5,243
4,51.5,81
5,-70.5,39
6,-90.5,35
7,99.0,85
8,-175.0,17
9,-163.0,26
10,30.0,91
11,-118.0,35
12,66.5,62
13,-175.0,17
14,-186.0,17
15,-7.0,55
16,53.5,88
17,321.0,158
18,453.5,157
19,124.5,89
20,-151.5,14
21,-106.0,33
22,-52.5,36
23,-37.5,50
24,40.5,59
25,70.5,65
26,-174.0,15
27,97.5,88
28,224.5,142
29,257.0,143
30,-142.0,17
31,416.5,187
32,-68.5,46
33,497.0,180
34,-82.5,41
35,416.5,176
36,101.5,102
37,-75.0,37
38,-11.0,63
39,28.5,61
40,-176.5,20
41,-93.0,29
42,-63.0,46
43,473.5,172
44,79.0,92
45,1.5,60
46,-35.5,46
47,230.5,108
48,77.5,84
49,961.0,286
50,176.0,44
1,51.0,71
2,206.0,135
3,425.0,203
4,675.5,219
5,-177.0,10
6,176.0,118
7,-55.0,52
8,732.0,249
9,-167.0,12
10,620.0,209
11,1301.0,387
12,1127.0,328
13,436.0,214
14,47.5,78
15,1178.0,369
16,279.0,143
17,783.0,246
18,1106.0,337
19,31.0,67
20,277.5,135
21,538.5,240
22,692.0,178
1,-156.0,12
2,569.5,255
3,208.0,142
4,170.5,129
5,-51.5,56
6,207.0,144
7,691.0,243
8,-95.0,33
9,0.5,62
10,31.5,66
11,200.0,103
12,314.5,149
13,1318.0,386
14,1216.5,369
15,688.0,227
16,-63.0,46
17,-33.0,63
18,142.0,120
19,1015.5,309
20,-170.5,19
21,194.0,93
22,-175.0,17
23,328.0,166
24,476.0,200
25,816.5,245
26,1323.0,346
1,594.5,271
2,11.5,62
3,-131.5,29
4,564.5,177
5,1469.5,567
6,229.0,122
7,826.5,346
8,-43.5,62
9,1271.5,457
10,-170.0,7
11,381.0,181
12,18.5,81
13,376.5,190
14,540.5,236
15,193.0,117
16,-188.5,22
17,-154.0,30
18,244.0,147
19,-24.5,46
20,1130.5,354
21,1208.0,452
22,115.5,44
1,1392.5,468
2,818.5,340
3,463.0,204
4,299.0,180
5,1764.5,560
6,1447.0,469
7,985.5,303
8,2157.5,720
9,1187.5,427
10,188.5,115
11,575.0,214
1,1836.0,637
2,97.0,89
3,1092.0,475
4,1101.0,391
5,-174.5,27
6,313.0,218
7,2108.0,709
8,2338.5,743
9,2312.0,711
1,385.5,183
2,791.5,361
3,-134.0,45
4,-175.0,6
5,940.0,284
6,249.0,126
7,634.5,301
8,4902.5,1709
9,-76.5,51
10,1271.5,424
11,1132.0,439
12,267.0,71
1,1925.5,777
2,-140.5,36
3,2096.0,634
4,-177.5,11
5,1635.0,610
6,1709.0,594
7,1130.5,376
8,-170.5,8
9,1530.5,632
10,588.0,185
11,553.0,137
1,6387.5,2083
2,2878.5,1082
3,157.5,122
4,1345.0,519
5,585.0,194
1,11601.5,4000
1,2252.5,860
2,9606.0,3140
1,14247.0,4000
1,13906.0,4000
1,14967.5,4000
1,14907.0,4000
1,15358.0,4000
1,4175.0,1206
2,10967.0,2794
1,15919.0,4000
1,3986.0,1089
2,11502.5,2911
1,8596.5,2197
2,3922.5,1007
3,3215.5,796
1,15919.0,4000
1,15028.0,3799
2,845.5,201
1,3396.0,905
2,12521.5,3095
1,-192.0,18
2,16098.5,3982
1,15699.0,4000
1,15985.0,4000
1,16166.5,4000
1,16144.5,4000
1,16161.0,4000
1,16337.0,4000
1,16067.5,4000
1,-148.5,19
2,16368.5,3981
1,16106.0,4000
1,16150.0,4000
1,-187.5,20
2,-185.0,15
3,16277.5,3965
1,16463.5,4000
1,16315.0,4000
1,16705.5,4000
1,16678.0,4000
1,16579.0,4000
1,16304.0,4000
1,5645.5,1433
2,10563.5,2567
1,16524.0,4000
1,16540.5,4000
1,16480.0,4000
1,16568.0,4000
