model,episode,timeframes,totalrewards,success,goaldist,initdist
trial_310,1,80,288.96605365487596,1,0.34291884662963507,9.367208789510535
trial_310,2,243,-159.1815394874072,0,10.708143710411566,14.837057581400872
trial_310,3,97,259.80532302852805,1,0.30591798046867885,6.452802936259038
trial_310,4,110,360.449764475718,1,0.2959026214182998,16.553993424778966
trial_310,5,89,253.55606929510105,1,0.3626890348201368,5.960968668954292
trial_310,6,50,228.8631272193748,1,0.3034550768085417,3.30875211190011
trial_310,7,587,354.05744049829303,1,0.35306733842948335,15.82677691010018
trial_310,8,70,236.32349293343546,1,0.31869890380443044,4.09699052804812
trial_310,9,224,358.80467460559646,1,0.27081110680027765,16.280811122260335
trial_310,10,212,347.74488086750716,1,0.36178596549643993,15.298881321384522
trial_310,11,250,313.39163993062573,1,0.38019919643688976,11.882615409267208
trial_310,12,158,-160.78360723788484,0,12.934816648205084,16.920732662501216
trial_310,13,79,279.22403037441757,1,0.27674870138500113,8.341629216981516
trial_310,14,133,363.6825713238165,1,0.23572751640556114,16.77274432887051
trial_310,15,273,343.1431490723286,1,0.2184659477550549,14.73133474374249
trial_310,16,75,295.0975830409945,1,0.3745939811118957,10.09470647676501
trial_310,17,81,284.9409245050608,1,0.38287597532003165,9.01100890754295
trial_310,18,65,238.49670005223692,1,0.22717932218272832,4.269436592184885
trial_310,19,353,296.3580137659872,1,0.24711256976069845,10.052019792138026
trial_310,20,325,-149.54576301634415,0,10.512677250008286,15.612437987057877
trial_310,21,74,283.6945944325208,1,0.3702312759586916,8.910834735576268
trial_310,22,154,328.25743167534495,1,0.3559617178895862,13.306933653917392
trial_310,23,136,-140.8355977719834,0,10.528633708211446,16.338659319166098
trial_310,24,142,336.1116836728038,1,0.300140461140472,14.106351002324018
trial_310,25,19,231.02102102417373,1,0.27141614539906456,3.5515685009780538
trial_310,26,133,275.0425779261295,1,0.37449808083616765,8.010568007429848
trial_310,27,85,317.58071225763035,1,0.23905210096581075,12.186110417140684
trial_310,28,129,265.5622254574696,1,0.3777268205569344,7.116469487189762
trial_310,29,154,327.0064908642855,1,0.32219398422041345,13.225500349411458
trial_310,30,297,342.14431114622283,1,0.2792537681549957,14.674232340008603
trial_310,31,78,227.55577346841704,1,0.21270059070020667,3.181177588361711
